run_id,criterion_id,stratum,selection_probability,seed,sampling_script,condition,audit_id
run-135,T06-R04,T06|grok|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0176
run-047,T02-R11,T02|sol|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0177
run-014,T01-R08,T01|grok|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0178
run-008,T01-R05,T01|opus5|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0179
run-065,T03-R04,T03|sol|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0180
run-038,T02-R07,T02|grok|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0181
run-116,T05-R09,T05|sol|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0182
run-017,T01-R03,T01|sol|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0183
run-053,T03-R03,T03|opus5|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0184
run-146,T08-R01,T08|opus5|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0185
run-056,T03-R09,T03|opus5|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0186
run-101,T05-R07,T05|opus5|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0187
run-075,T04-R14,T04|opus5|world_first,0.08928571428571429,60132,scripts/sample_audits.py,world_first,GA-0188
run-179,T07-R02,T07|grok|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0189
run-109,T05-R02,T05|grok|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0190
run-144,T06-R03,T06|sol|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0191
run-035,T02-R07,T02|grok|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0192
run-048,T02-R06,T02|sol|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0193
run-054,T03-R03,T03|opus5|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0194
run-190,T07-R03,T07|sol|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0195
run-079,T04-R05,T04|opus5|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0196
run-178,T07-R04,T07|grok|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0197
run-002,T01-R05,T01|opus5|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0198
run-148,T08-R03,T08|opus5|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0199
run-172,T07-R05,T07|opus5|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0200
run-037,T02-R07,T02|grok|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0201
run-087,T04-R05,T04|grok|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0202
run-034,T02-R04,T02|grok|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0203
run-172,T07-R03,T07|opus5|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0204
run-001,T01-R04,T01|opus5|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0205
run-040,T02-R11,T02|grok|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0206
run-009,T01-R11,T01|grok|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0207
run-171,T07-R03,T07|opus5|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0208
run-078,T04-R06,T04|opus5|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0209
run-122,T06-R04,T06|opus5|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0210
run-063,T03-R03,T03|grok|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0211
