run_id,criterion_id,condition,stratum,selection_probability,seed,sampling_script,audit_id
run-124,T06-R05,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0318
run-189,T07-R04,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0319
run-078,T04-R01,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0320
run-085,T04-R03,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0321
run-009,T01-R06,world_first,world_first|unknown,0.18181818181818182,60148,scripts/sample_audits.py,AA-0322
run-113,T05-R02,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0323
run-093,T04-R08,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0324
run-170,T07-R03,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0325
run-160,T08-R04,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0326
run-021,T01-R09,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0327
run-083,T04-R01,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0328
run-035,T02-R10,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0329
run-089,T04-R11,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0330
run-150,T08-R01,task_first,task_first|not_accessed,0.19753086419753085,60148,scripts/sample_audits.py,AA-0331
run-055,T03-R05,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0332
run-123,T06-R07,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0333
run-039,T02-R04,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0334
run-094,T04-R03,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0335
run-108,T05-R03,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0336
run-001,T01-R11,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0337
run-118,T05-R08,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0338
run-038,T02-R01,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0339
run-116,T05-R01,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0340
run-011,T01-R07,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0341
run-116,T05-R02,task_first,task_first|unknown,0.1875,60148,scripts/sample_audits.py,AA-0342
run-168,T08-R02,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0343
run-034,T02-R10,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0344
run-095,T04-R03,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0345
run-036,T02-R05,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0346
